feature,importance
TimeOnSite,0.09893482453015946
PagesPerVisit,0.09858694622576057
ClickThroughRate,0.09263708972646753
AdSpend,0.09048935073847877
ConversionRate,0.08281842875168445
LoyaltyPoints,0.07713745963970463
PreviousPurchases,0.07241438951559613
EmailClicks,0.0657764613267813
EmailOpens,0.0646627816946871
WebsiteVisits,0.05923637658267379
Income,0.0492599009671075
SocialShares,0.04335367116911797
Age,0.04114927209726962
CampaignType_Conversion,0.023019080974097474
Gender_Male,0.006630083647980285
CampaignChannel_Social Media,0.006003484420170465
CampaignType_Retention,0.0059342004331171825
CampaignType_Consideration,0.00584475201660429
CampaignChannel_SEO,0.005611158081081039
CampaignChannel_PPC,0.005596149381547904
CampaignChannel_Referral,0.004904138079912561
